Neighborhood,Reference,Distance
random,training,112.02085786235698
random,training,108.81986703935003
random,training,103.1191129648963
random,training,103.14363882355872
random,training,104.26555783394488
random,training,107.67037915218134
random,training,113.11597761577151
random,training,109.08160473637912
random,training,108.95594184602274
random,training,111.13112551977842
random,training,112.07857370343065
random,training,113.89540668075894
random,training,113.65363180924751
random,training,115.89767418209377
random,training,113.45729401925378
random,training,115.61476187407828
random,training,112.81300156292389
random,training,111.71151672811237
random,training,117.1827214169603
random,training,122.20702695499217
random,training,116.92863290769182
random,training,116.76988137986143
random,training,123.036963916979
random,training,121.47889689228218
random,training,117.0416767029877
random,training,115.28936279229006
random,training,114.60534533237706
random,training,118.46550133013169
random,training,122.3679174190156
random,training,118.73371892031537
random,training,116.66385606138822
random,training,114.40927529901161
random,training,109.98860816589993
random,training,113.88454129502497
random,training,109.63730923806067
random,training,109.42767267025766
random,training,114.88177092028452
random,training,112.9041188297368
random,training,112.51834880091019
random,training,114.62672286350158
random,training,116.22489240704907
random,training,116.86660197797887
random,training,118.76934380994919
random,training,120.19861794449446
random,training,122.37109627562873
random,training,122.59286673628657
random,training,116.52292480485163
random,training,118.26414266287235
random,training,117.14219687408348
random,training,110.87237170049994
random,training,117.62755013805287
random,training,122.24321825150562
random,training,124.12302262978929
random,training,122.95022484183565
random,training,123.02321279696304
random,training,117.48156328123623
random,training,113.7928527237771
random,training,117.12148952860034
random,training,115.50548174929146
random,training,111.96573013553079
random,training,113.31784338424325
random,training,116.42909569164952
random,training,112.16442962477815
random,training,112.73830902121335
random,training,110.3653322891529
random,training,113.8524107516976
random,training,112.49178766076862
random,training,111.56609175172701
random,training,106.84389457874748
random,training,109.03640837557285
random,training,108.13201533053622
random,training,111.0935068925902
random,training,107.75138008072202
random,training,110.067619224528
random,training,107.55117189467612
random,training,110.96144285116665
random,training,113.27400113938387
random,training,115.91107858257666
random,training,115.207775475087
random,training,114.61627120474839
random,training,113.81276757693645
random,training,120.00415870176974
random,training,120.74813001013264
random,training,125.00387142863592
random,training,126.34953937155763
random,training,127.96313060389228
random,training,126.87389032296562
random,training,123.39744647413472
random,training,126.23920346590296
random,training,126.00688214027468
random,training,125.24566314733269
random,training,121.82866262879145
random,training,121.26698129898764
random,training,122.72851534190046
random,training,124.25000891378563
random,training,122.43054308838627
random,training,115.96360148002417
random,training,118.09748537418481
random,training,119.37229198538586
random,training,119.5932961336891
random,training,125.59915642294213
random,training,122.64660031771469
random,training,120.99552498924886
random,training,116.45370061996344
random,training,119.14683869324968
random,training,118.50481120485347
random,training,120.84938807758884
random,training,116.89791851862675
random,training,119.49559239215051
random,training,118.55748497358775
random,training,123.84797732742594
random,training,123.32067805738862
random,training,123.75304420673065
random,training,125.10751542472529
random,training,117.22744301790907
random,training,119.9024135820516
random,training,124.00647747655559
random,training,117.23295369250155
random,training,114.52278321226093
random,training,113.16324589736598
random,training,111.19360772699385
random,training,114.99915137598543
random,training,115.58457433956347
random,training,114.44876382970851
random,training,113.57291777614019
random,training,119.7740762313682
random,training,118.86738718512484
random,training,122.70795358043351
random,training,127.00934764137155
random,training,124.93696391810809
random,training,122.47870076454801
random,training,119.03679027583986
random,training,118.55081384120565
random,training,121.65098285473529
random,training,116.29560821828318
random,training,114.98627705597585
random,training,111.7236795058181
random,training,112.07294282318959
random,training,115.73833580820813
random,training,121.890391782275
random,training,126.94444592882627
random,training,124.20397668286829
random,training,124.22722650960192
random,training,123.6089307661983
random,training,116.2690039953499
random,training,113.7247225691656
random,training,113.45476216221587
random,training,112.98420288894997
random,training,113.04374944392247
random,training,110.17790234516973
random,training,108.98543120113156
random,training,113.077169954877
random,training,108.73248584002566
random,training,109.31124574030264
random,training,112.57641928505252
random,training,108.26717653656206
random,training,111.05442965844482
random,training,113.07165940333802
random,training,116.80679813574112
random,training,114.19723802037774
random,training,113.79632675864313
random,training,110.81581674037051
random,training,110.53133977876091
random,training,117.05408519433033
random,training,121.73485486168217
random,training,120.88213236745027
random,training,115.07260551904166
random,training,111.87114018393272
random,training,115.87643815572568
random,training,112.26314800072541
random,training,108.56568776283677
random,training,111.39512979508356
random,training,117.32395915096924
random,training,120.02719579616816
random,training,123.27676421374314
random,training,121.98076023918566
random,training,122.14859817464226
